fold,accuracy,macro_f1,weighted_f1
1,0.8714285714285714,0.865570926854661,0.8686447587714311
2,0.8865546218487395,0.8786969656584834,0.886607173141018
3,0.8839848675914249,0.8790240774810029,0.8838701046055399
4,0.8722152164775115,0.873918058825421,0.8723036507404852
5,0.8965952080706179,0.8937126062441088,0.8969672609102919
