config_id,hidden_size,num_layers,dropout,lr,weight_decay,mean_accuracy,mean_macro_f1,mean_weighted_f1
1,128,1,0.3,0.001,1e-05,0.8692954811180462,0.8636972334628401,0.8688437926722681
2,256,1,0.3,0.001,1e-05,0.8687073517931763,0.8647447160331417,0.8679411126125276
3,128,2,0.35,0.001,1e-05,0.8731609566903684,0.8679781717652439,0.87285102049758
4,256,2,0.4,0.0005,1e-05,0.8712278656733817,0.867543421542402,0.8708865685954323
