fold,accuracy,macro_f1,weighted_f1
1,0.8705882352941177,0.8660099073125741,0.8686894148337189
2,0.8714285714285714,0.8675293519618514,0.8708398358364744
3,0.8793610760823876,0.8763690856672918,0.8801419545209979
4,0.8461538461538461,0.8483583197468361,0.8464596111938005
5,0.8886086591004624,0.8850295822190404,0.8883557520933417
