fold,accuracy,macro_f1,weighted_f1
1,0.8697478991596639,0.8599469159199886,0.8659810915169146
2,0.8836134453781512,0.8723757962904406,0.884949667155187
3,0.880201765447667,0.8695767248905827,0.8804552834417013
4,0.8726355611601513,0.8752184061233702,0.8728231869070168
5,0.8902900378310215,0.8896956338176403,0.8905905896182201
