config_id,channels,kernels,dropout,lr,weight_decay,mean_accuracy,mean_macro_f1,mean_weighted_f1
1,"(96, 128, 192, 256)","(3, 5, 3, 3)",0.3,0.001,1e-05,0.8820717694391753,0.878396255870338,0.8820738359249809
2,"(64, 128, 192, 256)","(3, 5, 5, 3)",0.3,0.001,1e-05,0.88501358172525,0.8795219982792233,0.8845200866691757
3,"(96, 160, 224, 288)","(3, 5, 3, 3)",0.35,0.0005,1e-05,0.8826589803638983,0.8770387703848993,0.8822915096081042
4,"(128, 160, 224, 320)","(5, 5, 3, 3)",0.4,0.0005,1e-05,0.8820709923313588,0.8784626634053667,0.8814108556383615
