fold,accuracy,macro_f1,weighted_f1
1,0.8840336134453781,0.8786054073993108,0.8808287313955575
2,0.8794117647058823,0.8652747321206162,0.879753292772251
3,0.8932324506094997,0.8812257220788562,0.8930193960927599
4,0.8692728036990333,0.8733110209046095,0.8688996676045694
5,0.8991172761664565,0.8991931088927232,0.9000993454807403
